"PROV","AMP","Actual_mean","Pred_mean"
"Bangkok","Thon Buri",0,0
"Bangkok","Thung Khru",0,0
"Bangkok","Vadhana",0,0
"Bangkok","Wang Thonglang",0,0
"Bangkok","Yan Nawa",0.00160439208108007,0
"Bueng Kan","Bueng Khong Long",0,0.0727626139467413
"Bueng Kan","Bung Khla",0,0.0653169358318502
"Bueng Kan","Mueang Bueng Kan",0.0214362226288912,0.0685884329405698
"Bueng Kan","Pak Khat",0,0.0491589036854831
"Bueng Kan","Phon Charoen",0.0214362226288912,0.0467644916339354
"Bueng Kan","Seka",0,0.0793081521987915
"Bueng Kan","Si Wilai",0.0214362226288912,0.0557655014775016
"Bueng Kan","So Phisai",0.0214362226288912,0
"Buri Ram","Ban Dan",0.108242266930329,0.141702274029905
"Buri Ram","Ban Kruat",0,0.0818415155464953
"Buri Ram","Ban Mai Chaiyaphot",0,0
"Buri Ram","Chaloem Phra Kiat",0,0.0169879978268661
"Buri Ram","Chamni",0.00569696141738577,0.0703082308173179
"Buri Ram","Huai Rat",0,0.0500810220837593
"Buri Ram","Khaen Dong",0.00569696141738577,0.0547211387787354
"Buri Ram","Khu Mueang",0.00569696141738577,0.0685660489411517
"Buri Ram","Krasang",0.0113939228347715,0.0324270909398117
"Buri Ram","Lahan Sai",0,0.0974672308022326
"Buri Ram","Lam Plai Mat",0,0.063107680529356
"Buri Ram","Mueang Buri Ram",0,0.056542498821562
"Buri Ram","Na Pho",0,0
"Buri Ram","Nang Rong",0.0113939228347715,0.029729043895548
"Buri Ram","Non Din Daeng",0,0
"Buri Ram","Non Suwan",0.00569696141738577,0.0991096577861091
"Buri Ram","Nong Hong",0.00569696141738577,0.00893204049630598
"Buri Ram","Nong Ki",0.00569696141738577,0.129150176590139
"Buri Ram","Pakham",0.00569696141738577,0.0318794543431564
"Buri Ram","Phlapphla Chai",0,0.0664116719060323
"Buri Ram","Phutthaisong",0.0170908842521573,0.0771207951686599
"Buri Ram","Prakhon Chai",0.00569696141738577,0.0400876638225534
"Buri Ram","Satuek",0.0113939228347715,0.0766331831162625
"Chachoengsao","Ban Pho",0,0
"Chachoengsao","Bang Khla",0,0
"Chachoengsao","Bang Nam Priao",0,0
"Chachoengsao","Bang Pakong",0,0
"Chachoengsao","Khlong Khuean",0,0
"Chachoengsao","Mueang Chachoengsao",0.0126242813154451,0
"Chachoengsao","Phanom Sarakham",0.0126242813154451,0
"Chachoengsao","Plaeng Yao",0,0
"Chachoengsao","Ratchasan",0,0
"Chachoengsao","Sanam Chai Khet",0.0126242813154451,0.0437391447750005
"Chachoengsao","Tha Takiap",0.0126242813154451,0.0303886647928845
"Chai Nat","Hankha",0,0
"Chai Nat","Manorom",0.0556681133881535,0
"Chai Nat","Mueang Chai Nat",0.0278340566940767,0
"Chai Nat","Noen Kham",0,0
"Chai Nat","Nong Mamong",0.0278340566940767,0
"Chai Nat","Sankhaburi",0.0278340566940767,0
"Chai Nat","Sapphaya",0,0
"Chai Nat","Wat Sing",0,0
"Chaiyaphum","Bamnet Narong",0,0
"Chaiyaphum","Ban Khwao",0,0
"Chaiyaphum","Ban Thaen",0.0319720513116254,0.0490516444498843
"Chaiyaphum","Chatturat",0,0.0274354205890136
"Chaiyaphum","Kaeng Khro",0.0319720513116254,0.0326921838251027
"Chaiyaphum","Kaset Sombun",0.0159860256558127,0.0559964369643818
"Chaiyaphum","Khon San",0,0.0107421881773255
"Chaiyaphum","Khon Sawan",0,0
"Chaiyaphum","Mueang Chaiyaphum",0.00799301282790636,0.0319654602896083
"Chaiyaphum","Nong Bua Daeng",0.0399650641395318,0.062483704902909
"Chaiyaphum","Nong Bua Rawe",0.0159860256558127,0.0363939445127141
"Chaiyaphum","Phakdi Chumphon",0.00799301282790636,0.0423839458010414
"Chaiyaphum","Phu Khiao",0.0239790384837191,0.0283008854497563
"Chaiyaphum","Sap Yai",0,0.0179095776243643
"Chaiyaphum","Thep Sathit",0.0159860256558127,0.0274774858897382
"Chanthaburi","Kaeng Hang Maeo",0.0169070911383511,0.146611731160771
"Chanthaburi","Khao Khitchakut",0.0169070911383511,0.0830749801614068
"Chanthaburi","Khlung",0.0676283645534043,0.127326691692526
"Chanthaburi","Laem Sing",0.0169070911383511,0
"Chanthaburi","Makham",0.0507212734150532,0.0650963078845631
"Chanthaburi","Mueang Chanthaburi",0.0507212734150533,0.149523330005732
"Chanthaburi","Na Yai Am",0.0338141822767021,0.0218658338893544
"Chanthaburi","Pong Nam Ron",0.0507212734150533,0.0558037243106149
"Chanthaburi","Soi Dao",0.0507212734150533,0
"Chanthaburi","Tha Mai",0.0169070911383511,0.153312577442689
"Chiang Mai","Chai Prakan",0,0
"Chiang Mai","Chiang Dao",0,0
"Chiang Mai","Chom Thong",0,0
"Chiang Mai","Doi Lo",0,0
"Chiang Mai","Doi Saket",0.00510939365088351,0
"Chiang Mai","Doi Tao",0.00510939365088351,0
"Chiang Mai","Fang",0.0153281809526505,0
"Chiang Mai","Hang Dong",0,0
"Chiang Mai","Hot",0.00510939365088351,0
"Chiang Mai","Mae Ai",0.00510939365088351,0
"Chiang Mai","Mae Chaem",0,0
"Chiang Mai","Mae On",0,0
"Chiang Mai","Mae Rim",0.00510939365088351,0
"Chiang Mai","Mae Taeng",0,0
"Chiang Mai","Mae Wang",0,0
"Chiang Mai","Mueang Chiang Mai",0.010218787301767,0
"Chiang Mai","Omkoi",0,0
"Chiang Mai","Phrao",0,0
"Chiang Mai","Samoeng",0,0
"Chiang Mai","San Kamphaeng",0,0
"Chiang Mai","San Pa Tong",0,0
"Chiang Mai","San Sai",0.00510939365088351,0
"Chiang Mai","Saraphi",0,0
"Chiang Mai","Wiang Haeng",0,0
"Chiang Rai","Chiang Khong",0,0.0901129614900459
"Chiang Rai","Chiang Saen",0,0.0481708124279976
"Chiang Rai","Doi Luang",0,0.0430203852328387
"Chiang Rai","Khun Tan",0,0.0289233462377027
"Chiang Rai","Mae Chan",0.0280085683812393,0.0877828843552957
"Chiang Rai","Mae Fa Luang",0.32910067847956,0.30774613943967
"Chiang Rai","Mae Lao",0,0
"Chiang Rai","Mae Sai",0.0070021420953098,0.0690516782077875
"Chiang Rai","Mae Suai",0.035010710476549,0.115557061000304
"Chiang Rai","Mueang Chiang Rai",0.0210064262859294,0.0759708231145685
"Chiang Rai","Pa Daet",0.0840257051437177,0.0527378456159072
"Chiang Rai","Phan",0.0210064262859294,0.0331770313734359
"Chiang Rai","Phaya Mengrai",0.0140042841906196,0.0566862990910357
"Chiang Rai","Thoeng",0.0140042841906196,0.0577468949962746
"Chiang Rai","Wiang Chai",0.0070021420953098,0.0523697361350059
"Chiang Rai","Wiang Chiang Rung",0.0140042841906196,0.0620587556199594
"Chiang Rai","Wiang Kaen",0,0.0177245790308172
"Chiang Rai","Wiang Pa Pao",0.0070021420953098,0.0480823990973559
"Chon Buri","Ban Bueng",0,0
"Chon Buri","Bang Lamung",0,0
"Chon Buri","Bo Thong",0,0
"Chon Buri","Ko Chan",0,0
"Chon Buri","Mueang Chon Buri",0,0
"Chon Buri","Nong Yai",0,0
"Chon Buri","Phan Thong",0,0
"Chon Buri","Phanat Nikhom",0.00583385949884464,0
"Chon Buri","Sattahip",0,0
"Chon Buri","Si Racha",0,0.00496319715272296
"Chumphon","Lamae",0.0177798513035475,0.0559100522236391
"Chumphon","Lang Suan",0,0
"Chumphon","Mueang Chumphon",0.0177798513035475,0
"Chumphon","Pathio",0,0
"Chumphon","Phato",0,0.0828475491567092
"Chumphon","Sawi",0,0
"Chumphon","Tha Sae",0.0355597026070952,0.149739731441845
"Chumphon","Thung Tako",0,0
"Kalasin","Don Chan",0.0184883927097309,0.0683525082739917
"Kalasin","Huai Mek",0.00924419635486545,0.0927453366192904
"Kalasin","Huai Phueng",0,0.0544475059617649
"Kalasin","Kamalasai",0.175639730742444,0.196450199593197
"Kalasin","Kham Muang",0.0462209817743273,0.0681261609901081
"Kalasin","Khao Wong",0,0
"Kalasin","Khong Chai",0.0462209817743273,0.115544088184834
"Kalasin","Kuchinarai",0.110930356258386,0.0903722183270888
"Kalasin","Mueang Kalasin",0.0462209817743273,0.0409998419609936
"Kalasin","Na Khu",0,0.0796453492207961
"Kalasin","Na Mon",0.0184883927097309,0.0443906662139025
"Kalasin","Nong Kung Si",0.00924419635486545,0.0542570935054259
"Kalasin","Rong Kham",0,0.027737821367654
"Kalasin","Sahatsakhan",0.0647093744840582,0.0378339398990978
"Kalasin","Sam Chai",0,0.0485386489467187
"Kalasin","Somdet",0.0277325890645964,0.0551871196790175
"Kalasin","Tha Khantho",0.00924419635486545,0.0599946122277866
"Kalasin","Yang Talat",0.0647093744840582,0.0891234895045107
"Kamphaeng Phet","Bueng Samakkhi",0,0
"Kamphaeng Phet","Khanu Woralaksaburi",0,0
"Kamphaeng Phet","Khlong Khlung",0,0
"Kamphaeng Phet","Khlong Lan",0,0
"Kamphaeng Phet","Kosamphi Nakhon",0,0
"Kamphaeng Phet","Lan Krabue",0,0
"Kamphaeng Phet","Mueang Kamphaeng Phet",0,0
"Kamphaeng Phet","Pang Sila Thong",0,0
"Kamphaeng Phet","Phran Kratai",0,0
"Kamphaeng Phet","Sai Ngam",0,0
"Kamphaeng Phet","Sai Thong Watthana",0,0
"Kanchanaburi","Bo Phloi",0,0
"Kanchanaburi","Dan Makham Tia",0,0
"Kanchanaburi","Huai Krachao",0,0
